,id,claim
0,0,US coastal growth continues
1,1,US coastal growth continues
2,2,US coastal growth continues
3,3,US coastal growth continues
4,4,US coastal growth continues
5,5,US coastal growth continues
6,6,US coastal growth continues
7,7,US coastal growth continues
8,8,US coastal growth continues
9,9,US coastal growth continues
10,10,US coastal growth continues
11,11,US coastal growth continues
12,12,US coastal growth continues
13,13,US coastal growth continues
14,14,US coastal growth continues
15,15,US coastal growth continues
16,16,US coastal growth continues
17,17,US coastal growth continues
18,18,US coastal growth continues
19,19,US coastal growth continues
20,20,US coastal growth continues
21,21,US coastal growth continues
22,22,US coastal growth continues
23,23,US coastal growth continues
24,24,US coastal growth continues
25,25,US coastal growth continues
26,26,US coastal growth continues
27,27,US coastal growth continues
28,28,US coastal growth continues
29,29,US coastal growth continues
30,30,US coastal growth continues
31,31,US coastal growth continues
32,32,US coastal growth continues
33,33,US coastal growth continues
34,34,US coastal growth continues
35,35,US coastal growth continues
36,36,US coastal growth continues
37,37,US coastal growth continues
38,38,US coastal growth continues
39,39,US coastal growth continues
40,40,US coastal growth continues
41,41,US coastal growth continues
42,42,US coastal growth continues
43,43,US coastal growth continues
44,44,US coastal growth continues
45,45,US coastal growth continues
46,46,US coastal growth continues
47,47,US coastal growth continues
48,48,US coastal growth continues
49,49,US coastal growth continues
50,50,US coastal growth continues
51,51,US coastal growth continues
52,52,US coastal growth continues
53,53,US coastal growth continues
54,54,US coastal growth continues
55,55,US coastal growth continues
56,56,US coastal growth continues
57,57,US coastal growth continues
58,58,US coastal growth continues
59,59,US coastal growth continues
60,60,US coastal growth continues
61,61,US coastal growth continues
62,62,US coastal growth continues
63,63,US coastal growth continues
64,64,US coastal growth continues
65,65,US coastal growth continues
66,66,US coastal growth continues
67,67,US coastal growth continues
68,68,US coastal growth continues
69,69,US coastal growth continues
70,70,US coastal growth continues
71,71,US coastal growth continues
72,72,US coastal growth continues
73,73,US coastal growth continues
74,74,US coastal growth continues
75,75,US coastal growth continues
76,76,US coastal growth continues
77,77,US coastal growth continues
78,78,US coastal growth continues
79,79,US coastal growth continues
80,80,US coastal growth continues
81,81,US coastal growth continues
82,82,US coastal growth continues
83,83,US coastal growth continues
84,84,US coastal growth continues
85,85,US coastal growth continues
86,86,US coastal growth continues
87,87,US coastal growth continues
88,88,US coastal growth continues
89,89,US coastal growth continues
90,90,US coastal growth continues
91,91,US coastal growth continues
92,92,US coastal growth continues
93,93,US coastal growth continues
94,94,US coastal growth continues
95,95,US coastal growth continues
96,96,US coastal growth continues
97,97,US coastal growth continues
98,98,US coastal growth continues
99,99,US coastal growth continues
